id, difficulty,uniqueness,rules,goal words,valid words,total words, cells, hint
1,516.3,0.569811320754717,1,187,319,1652,49,all-ways! -- These words are all: verbs. -- 
2,467.5,0.5019157088122606,1,231,578,1425,56,all-ways! -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
3,456.7,1.1616480554485946,3,13,21,1813,64,all-ways! -- Your words my be not longer than dis many fingers: 4. -- These words seem to start with... vowels. -- OMG,these are: verbs -- 
4,448.1,0.5734345091605141,2,51,80,1720,64,all-ways! -- It may seem like this hint isn't useful. But i promise at least 3 times it is. -- I'd pay attention to the kind of the words there are. Specifically: verbs -- 
5,445.7,0.7003284072249589,2,103,252,1594,64,all-ways! -- Exactamundo 4 -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
6,433.5,0.6680327868852459,2,27,151,1850,64,all-ways! -- From 4-5 letters. -- These words seem to end with the letters... minos. -- 
7,432.40000000000003,0.9713034639143014,2,58,161,1684,64,all-ways! -- In the beginning was one of these letters: potato -- OMG,these are: nouns -- 
8,414.59999999999997,0.3431372549019608,2,188,727,1446,64,all-ways! -- Your words my be not longer than dis many fingers: 5. -- End of the the letters words. Specifically: consonants -- 
9,409.5,1.2364779874213836,2,21,36,1648,48,all-ways! -- What's in dem words. Is it: s and i. Yeah it is. -- OMG,these are: verbs -- 
10,407.7,0.3723404255319149,1,269,1232,1571,64,all-ways! -- These words seem to start with... consonants. -- 
11,407.3,0.569811320754717,1,139,222,1274,64,all-ways! -- These words are all: verbs. -- 
12,393.4,0.5019157088122606,2,136,315,1214,49,all-ways! -- You don't need a sweater but you do need words with at least 4 letters. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
13,392.20000000000005,0.8733488733488733,3,16,66,1519,49,all-ways! -- Your words my be not longer than dis many fingers: 5. -- What's in dem words. Is it: i. Yeah it is. -- These words seem to start with... mike. -- 
14,390.9,1.0808630772333132,2,15,42,1594,64,all-ways! -- All these words have something in common. I think ee. sry typo -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
15,379.1,0.5036231884057971,2,25,85,1523,64,all-ways! -- You don't need a sweater but you do need words with at least 3 letters. -- OMG, ends with a letter from: minos -- 
16,369.7,1.1616480554485946,2,23,41,1443,49,all-ways! -- These words seem to start with... vowels. -- OMG,these are: verbs -- 
17,367.1,0.6452212090509962,2,29,189,1545,64,all-ways! -- Exactamundo 4 -- These words seem to end with the letters... vowels. -- 
18,366.2,0.5019157088122606,1,196,482,1095,64,insidezies -- OMG,these are: nouns -- 
19,352.6,0.5656565656565656,1,58,296,1520,64,all-ways! -- These words seem to start with... mike. -- 
20,349.0,0.569811320754717,1,126,205,1037,48,all-ways! -- OMG,these are: verbs -- 
21,346.1,0.569811320754717,2,83,132,1086,49,all-ways! -- You don't need a sweater but you do need words with at least 4 letters. -- These words are all: verbs. -- 
22,343.5,1.1416466089050537,3,23,62,1233,49,all-ways! -- 4-5 letters. -- These words seem to start with... lisa. -- OMG,these are: nouns -- 
23,341.5,1.0434656621269198,3,53,106,1102,64,all-ways! -- Maka dem all the same siza: 4 -- OMG, ends with a letter from: consonants -- OMG,these are: nouns -- 
24,340.9,0.53125,1,77,340,1401,56,all-ways! -- These words seem to end with the letters... potato. -- 
25,339.6,0.6226415094339622,2,40,156,1314,48,all-ways! -- Your words my be not longer than dis many fingers: 4. -- In the beginning was one of these letters: minos -- 
26,339.09999999999997,1.1354678864112826,2,19,31,1302,48,all-ways! -- In the beginning was one of these letters: mike -- These words are all: verbs. -- 
27,335.09999999999997,0.3723404255319149,1,207,942,1259,48,all-ways! -- These words seem to start with... consonants. -- 
28,334.9,1.2608575866065974,3,5,15,1242,64,all-ways! -- 4-5 letters. -- What's in dem words. Is it: e and et. Yeah it is. -- I'd pay attention to the kind of the words there are. Specifically: nouns -- 
29,333.1,0.5055388972180577,2,51,131,1196,48,all-ways! -- Your words my be not longer than dis many fingers: 3. -- These words are all: nouns. -- 
